gene_id	string_protein_id	propagate_score
SLC9A3	9606.ENSP00000264938	1.8603217467347008e-05
STUB1	9606.ENSP00000219548	0.00023259908629482908
CYP51A1	9606.ENSP00000003100	3.3550663250072996e-05
NSDHL	9606.ENSP00000359297	2.1272187279457142e-05
INSIG1	9606.ENSP00000344741	2.7502715448150446e-05
EBP	9606.ENSP00000417052	1.2200254664647275e-05
DHCR24	9606.ENSP00000360316	3.5014954545477356e-05
CYB5R3	9606.ENSP00000354468	1.5149430987470827e-05
SIGMAR1	9606.ENSP00000277010	2.820219982520439e-05
MVK	9606.ENSP00000228510	2.939771381659762e-05
HSD3B1	9606.ENSP00000358421	4.6474209913173e-05
HMGCS1	9606.ENSP00000322706	4.528676642403119e-05
POR	9606.ENSP00000419970	2.9421379404621634e-05
FDPS	9606.ENSP00000349078	2.8591520959749916e-05
ERG28	9606.ENSP00000256319	1.534676196536822e-05
EGR2	9606.ENSP00000242480	0.00014648244844943758
HSD3B7	9606.ENSP00000297679	1.4454320120905894e-05
SC5D	9606.ENSP00000264027	2.4466275989424446e-05
FDFT1	9606.ENSP00000491537	4.982869928482583e-05
HSD17B7	9606.ENSP00000254521	3.241394702278777e-05
HSD3B2	9606.ENSP00000445122	4.3494322055180905e-05
SREBF1	9606.ENSP00000348069	0.00016929519411262037
PGRMC1	9606.ENSP00000217971	1.63604336655697e-05
MVD	9606.ENSP00000301012	2.811879449328936e-05
SREBF2	9606.ENSP00000354476	9.658712259136637e-05
SDR42E1	9606.ENSP00000332407	6.516331133977684e-06
DHCR7	9606.ENSP00000347717	3.8046787731272973e-05
LBR	9606.ENSP00000339883	5.151444341437625e-05
LSS	9606.ENSP00000380837	3.258861443001348e-05
HMGCS2	9606.ENSP00000358414	3.52850823027952e-05
CYB5A	9606.ENSP00000341625	2.150613390148974e-05
CH25H	9606.ENSP00000360918	2.2486565903918762e-05
IDI2	9606.ENSP00000277517	2.5953712589622502e-05
FAXDC2	9606.ENSP00000320604	1.0791675204963945e-05
IDI1	9606.ENSP00000370748	2.671406543948493e-05
PPIG	9606.ENSP00000260970	8.694015675965767e-05
SQLE	9606.ENSP00000265896	3.887625461450006e-05
ACAT2	9606.ENSP00000356015	3.999753389816266e-05
HMGCR	9606.ENSP00000287936	7.07094683207227e-05
CYB5B	9606.ENSP00000308430	2.1863666677883916e-05
TM7SF2	9606.ENSP00000279263	1.5863790523749773e-05
MSMO1	9606.ENSP00000261507	2.6829283426467985e-05
USP28	9606.ENSP00000003302	6.308227430876565e-05
